2024-04-11 16:01:09,204 | WARN  | Transport Connection to: ws://192.168.0.112:64261 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64261 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,229 | WARN  | Transport Connection to: ws://192.168.0.112:64262 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64262 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,237 | WARN  | Transport Connection to: ws://192.168.0.112:64263 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64263 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,268 | WARN  | Transport Connection to: ws://192.168.0.112:64264 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64264 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,535 | WARN  | Transport Connection to: ws://192.168.0.112:64265 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64265 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,582 | WARN  | Transport Connection to: ws://192.168.0.112:64266 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64266 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,694 | WARN  | Transport Connection to: ws://192.168.0.112:64267 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64267 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,785 | WARN  | Transport Connection to: ws://192.168.0.112:64268 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64268 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,882 | WARN  | Transport Connection to: ws://192.168.0.112:64269 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64269 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,895 | WARN  | Transport Connection to: ws://192.168.0.112:64270 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64270 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,952 | WARN  | Transport Connection to: ws://192.168.0.112:64271 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64271 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:01:09,968 | WARN  | Transport Connection to: ws://192.168.0.112:64272 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64272 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
